ID,Timestamp,Price,Quantity sold
1,2024-07-07 23:33:17.726099,19.88,4
2,2024-07-06 23:33:17.726111,99.41,12
3,2024-07-05 23:33:17.726114,38.95,14
4,2024-07-04 23:33:17.726117,14.12,2
5,2024-07-03 23:33:17.726119,22.89,3
6,2024-07-02 23:33:17.726124,67.75,17
7,2024-07-01 23:33:17.726126,52.14,3
8,2024-06-30 23:33:17.726130,49.22,8
9,2024-06-29 23:33:17.726133,62.46,19
10,2024-06-28 23:33:17.726136,77.24,15
11,2024-06-27 23:33:17.726139,60.04,1
12,2024-06-26 23:33:17.726141,60.2,7
13,2024-06-25 23:33:17.726143,59.6,10
14,2024-06-24 23:33:17.726145,33.71,10
15,2024-06-23 23:33:17.726148,12.8,10
16,2024-06-22 23:33:17.726150,18.33,8
17,2024-06-21 23:33:17.726152,25.05,13
18,2024-06-20 23:33:17.726154,16.51,8
19,2024-06-19 23:33:17.726157,13.51,18
20,2024-06-18 23:33:17.726159,12.14,5
21,2024-06-17 23:33:17.726161,58.3,13
22,2024-06-16 23:33:17.726164,49.84,9
23,2024-06-15 23:33:17.726166,23.33,10
24,2024-06-14 23:33:17.726168,63.76,9
25,2024-06-13 23:33:17.726170,29.59,14
26,2024-06-12 23:33:17.726172,81.33,14
27,2024-06-11 23:33:17.726175,65.01,19
28,2024-06-10 23:33:17.726177,93.11,15
29,2024-06-09 23:33:17.726179,58.63,19
30,2024-06-08 23:33:17.727672,80.26,15
